"Story","Title","Result","Date","Stability","Duration (s)"
"Login","user input with valid Username and password","SUCCESS","2023-06-27T12:42:06.863477+07:00[Asia/Krasnoyarsk]","0.0","10.66"
"Login","user input with valid Username and invalid password","SUCCESS","2023-06-27T12:42:18.1047094+07:00[Asia/Krasnoyarsk]","0.0","8.53"
"Login","user input with invalid Username and valid password","SUCCESS","2023-06-27T12:42:27.0887608+07:00[Asia/Krasnoyarsk]","0.0","8.61"
"Login","user does not enter the Username and Password","SUCCESS","2023-06-27T12:42:36.1007142+07:00[Asia/Krasnoyarsk]","0.0","12.58"
"Login","user does not enter the Username and enter valid Password","SUCCESS","2023-06-27T12:42:49.0669519+07:00[Asia/Krasnoyarsk]","0.0","13.66"
"Login","user enter valid Username and does not  enter Password","SUCCESS","2023-06-27T12:43:03.1499795+07:00[Asia/Krasnoyarsk]","0.0","10.41"
"Login","user enter valid Username + Space and Valid Password","SUCCESS","2023-06-27T12:43:13.986223+07:00[Asia/Krasnoyarsk]","0.0","9.68"
"Login","user enter valid Username  and Valid Password + Space","SUCCESS","2023-06-27T12:43:24.0920208+07:00[Asia/Krasnoyarsk]","0.0","8.19"
